Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/Bransonlj/ip.git,master,Bransonlj,,BRAN.. TAO,,
https://github.com/sanjevi13/ip.git,master,sanjevi13,,SANJ..RAVI,,
https://github.com/Dangabit/ip.git,master,Dangabit,,GOH ..ERIC,,
https://github.com/YZmunchmunch/ip.git,master,YZmunchmunch,,ANG ..YUZE,Ang;Ang Yuze,
https://github.com/glyfy/ip.git,master,glyfy,,GLEN.. LIM,GlenLim,
https://github.com/ongweijie7/ip.git,master,ongweijie7,,ONG .. JIE,,
https://github.com/zenithyap/ip.git,master,zenithyap,,YAP ..NITH,Zenith,
https://github.com/chunzkok/ip.git,master,chunzkok,,KOK .. ZHI,,
https://github.com/mynameizzhafeez/ip.git,master,mynameizzhafeez,,IZZ ..ZLEY,Hafeez,
https://github.com/ruiyigan/ip.git,master,ruiyigan,,GAN ..I YI,,
https://github.com/JunHao247/ip.git,master,JunHao247,,LIM .. HAO,,
https://github.com/kennethk-1201/ip.git,master,kennethk-1201,,KIAN..NETH,,
https://github.com/gitsac/ip.git,master,gitsac,,ISAA.. JIE,,
https://github.com/dfordarius/ip.git,master,dfordarius,,DARI.. WEE,,
https://github.com/thennant/ip.git,master,thennant,,THEN..RONG,LAPTOP-DOG86KJ2\pinoc,
https://github.com/MrTwit99/ip.git,master,MrTwit99,,YEO .. JUE,,
https://github.com/WeideTeo/ip.git,master,WeideTeo,,TEO ..I DE,,
https://github.com/jundatan/ip.git,master,jundatan,,TAN ..N DA,Tan Jun Da,
https://github.com/lyndonlim27/ip.git,master,lyndonlim27,,LYND.. HNG,,
https://github.com/ShawnYip-Au/ip.git,master,ShawnYip-Au,,YIP-..HAWN,“ShawnYip-Au”,
https://github.com/swxk19/ip.git,master,swxk19,,SEOW..LVIN,,
https://github.com/bryansendeavour/ip.git,master,bryansendeavour,,BRYA.. ONG,,
https://github.com/huanghao1998/ip.git,master,huanghao1998,,HUAN.. HAO,Huang Hao,
https://github.com/PeanutButters93/ip.git,master,PeanutButters93,,LOW ..FENG,,
https://github.com/EksdeeeX/ip.git,master,EksdeeeX,,BRYA..KANG,,
https://github.com/randallnhr/ip.git,master,randallnhr,,RAND..RONG,Randall,
https://github.com/nus-jeff/ip.git,master,nus-jeff,,JEFF.. LEE,,
https://github.com/EvitanRelta/ip.git,master,EvitanRelta,,TAN ..HAUN,,
https://github.com/ExtraShotLatte/ip.git,master,ExtraShotLatte,,WONG.. YAO,Sean Wong,
https://github.com/bofeng1999/ip.git,master,bofeng1999,,LI B..FENG,Li Bo Feng,
https://github.com/chuakid/ip.git,master,chuakid,,KELV..CHUA,,
https://github.com/KSunil2001/ip.git,master,KSunil2001,,K SU..NASH,,
https://github.com/szejiancheng/ip.git,master,szejiancheng,,SZE ..HENG,,
https://github.com/Bisceto/ip.git,master,Bisceto,,TEO ..SLEY,Wesley Teo,
https://github.com/kynhan/ip.git,master,kynhan,,TANG..-HAN,,
https://github.com/Beebeeoii/ip.git,master,Beebeeoii,,LEE .. WEI,Jia Wei Lee;jiawei,
https://github.com/niekis/ip.git,master,niekis,,FUN ..LEON,,
https://github.com/Shuggan/ip.git,master,Shuggan,,SHAN..GGAN,,
https://github.com/jednghk/ip.git,master,jednghk,,JED ..KIAT,,
https://github.com/thedesalizes/ip.git,master,thedesalizes,,ETHA..A EN,,
https://github.com/chongweiguan/ip.git,master,chongweiguan,,CHON..GUAN,,
https://github.com/ryanjansen/ip.git,master,ryanjansen,,JANS..RICK,Ryan Jansen,
https://github.com/NoyaRoeT/ip.git,master,NoyaRoeT,,TEO ..AYON,NoyaReoT,
https://github.com/chia-yh/ip.git,master,chia-yh,,CHIA..HONG,,
https://github.com/Oliverloo0909/ip.git,master,Oliverloo0909,,OLIV..HENG,Oliver Loo,
https://github.com/praveenkrishna0512/ip.git,master,praveenkrishna0512,,KRIS..VEEN,,
https://github.com/StefanosAv/ip.git,master,StefanosAv,,STEF..RAAM,,
https://github.com/dunliang0513/ip.git,master,dunliang0513,,FOO ..IANG,,
https://github.com/laihuiqi/ip.git,master,laihuiqi,,LAI ..I QI,,
https://github.com/jiasheng59/ip.git,master,jiasheng59,,LEE ..HENG,Lee Jia Sheng,
https://github.com/Jiayan-Lim/ip.git,master,Jiayan-Lim,,LIM .. YAN,LimJiaYan,
https://github.com/tingyic/ip.git,master,tingyic,,CHEW..G YI,,
https://github.com/homuntan02/ip.git,master,homuntan02,,TAN ..OMUN,,
https://github.com/jianminglok/ip.git,master,jianminglok,,LOK ..MING,,
https://github.com/zm-l/ip.git,master,zm-l,,LAU ..MING,,
https://github.com/jayhee3/ip.git,master,jayhee3,,HEE ..YUAN,,
https://github.com/leeyi45/ip.git,master,leeyi45,,LEE ..E YI,,
https://github.com/bernicetoh/ip.git,master,bernicetoh,,BERN.. TOH,Bernice,
https://github.com/mandykqh/ip.git,master,mandykqh,,MAND.. HUI,,
https://github.com/ShanHng/ip.git,master,ShanHng,,HNG ..HERN,Shan,
https://github.com/panpannnnn/ip.git,master,panpannnnn,,ANG ..ANDA,Branda,
https://github.com/jamieeeleow/ip.git,master,jamieeeleow,,JAMI.. LIN,,
https://github.com/gremmyz/ip.git,master,gremmyz,,NG J..A YI,,
https://github.com/sembcorpp/ip.git,master,sembcorpp,,JANE.. HUI,,
https://github.com/seadragon2000341/ip.git,master,seadragon2000341,,LIM ..HAWN,,
https://github.com/heeeyi/ip.git,master,heeeyi,,KONG..HEYI,,
https://github.com/Emrysil/ip.git,master,Emrysil,,LI X..TONG,,
https://github.com/glozxi/ip.git,master,glozxi,,GLOR..NHUI,Gloria Zhang Xinhui,
https://github.com/wongyx/ip.git,master,wongyx,,WONG..IANG,Yong Xiang Wong,
https://github.com/nicljr/ip.git,master,nicljr,,LIM ..OLAS,NicLJR,
https://github.com/tricixg/ip.git,master,tricixg,,GOH ..ICIA,,
https://github.com/CShuwen/ip.git,master,CShuwen,,CHEN..UWEN,cshuwen,
https://github.com/ChickenChiang/ip.git,master,ChickenChiang,,CHIA..SHUA,,
https://github.com/liujiayue314/ip.git,master,liujiayue314,,LIU ..AYUE,,
https://github.com/YuanXun9834/ip.git,master,YuanXun9834,,LIN .. XUN,,
https://github.com/yitong241/ip.git,master,yitong241,,SUN ..TONG,yitong,
https://github.com/antonlee59/ip.git,master,antonlee59,,ANTO.. JIE,,
https://github.com/Yufannnn/ip.git,master,Yufannnn,,ZHU ..UFAN,Yufan,
https://github.com/Lanreath/ip.git,master,Lanreath,,TAN .. FEI,,
https://github.com/peaol/ip.git,master,peaol,,PEAR.. TWE,,
https://github.com/daytona65/ip.git,master,daytona65,,NICH..ALIM,,
https://github.com/Tempura-Person/ip.git,master,Tempura-Person,,LEON..ZHEN,,
https://github.com/daniellingzy/ip.git,master,daniellingzy,,DANI..YUAN,,
